編號,書名,作者,出版社,出版日期,定價,優惠價,內容簡介,目錄,圖片名稱
1,CSS 大全(第四版),"Eric A. Meyer,Estelle Weyl",歐萊禮,2019-01-25,1200,948,"
        　　WEB的視覺呈現

　　本書可協助網頁設計師與app開發人員，展現成熟的頁面設計、改善可存取性並節省時間與精力。新修訂版為CSS實作提供完整的指引，以及最新CSS標準規範的完整介紹。

　　CSS是個持續改變的語言，用來描述網頁內容於螢幕、印表機、語音合成器、螢幕報讀軟體及對話視窗上的呈現方式。在所有網頁瀏覽器、各種螢幕尺寸以及各式各樣的IoT設備上都看得到CSS的身影，包含手機、電腦、電腦遊戲、電視、手表、互動式多媒體機台、kiosks與自動櫃員機。作者Eric Meyer與Estelle Weyl藉由本書介紹如何改善使用者體驗、提高開發速度、避免潛在問題及透過佈局(layout)增加應用程式的生命與深度，以及動畫效果、邊框、背景、文字屬性與其他工具和技巧。

　　內容涵蓋：
　　‧選擇器、權重與階層
　　‧數值、單位、字型與文字屬性
　　‧內距、邊框、外框與邊界範圍
　　‧顏色、背景與漸層
　　‧浮動與定位
　　‧flexible box佈局
　　‧新的格線布局系統
　　‧2D與3D轉換、轉場與動畫效果
　　‧過濾器、混合、裁切與遮罩
　　‧媒體與特性查詢
",,20210522135614SIKPJG
2,深入學習JavaScript模組化設計,Nicolás Bevacqua,歐萊禮,2019-01-24,400,316,"
　　“Nicolás擅長將極複雜的技術主題分解成容易理解的白話和程式範例。” —Mathias Bynens Google與TC39

　　如果你有JavaScript和ECMAScript 6(ES6)的實務知識，這本實用指南將協助你設計模組化程式，寫出可讀、易維護、可擴展的程式。你會學到JavaScript模組化結構的基本知識，並且享受在每一個系統層面上（包括用戶端與伺服器）編寫獨立且完善的程式帶來的好處。

　　作者Nicolás Bevacqua教你如何將基礎程式拆成更小的模組來擴展JavaScript應用程式。資深開發者、技術主管與軟體架構師都可以從本書的設計實務中，學到如何控制內部的複雜性，同時建立簡單且靈活的模組。

　　‧掌握模組化設計的重點，包括你的應用程式會被如何使用，以及哪些東西屬於介面
　　‧設計模組的內容來揭露程式的意圖，讓它容易被瞭解
　　‧重構程式與內容並消除狀態來降低複雜性
　　‧利用現代的JavaScript功能編寫簡潔的程式與減少複雜性
　　‧採取Twelve-Factor App原則開發JavaScript應用程式前端與後端
 
","
        前言
第1章 模組思維
第2章 模組化原則
第3章 模組設計
第4章 型塑內在
第5章 模組化模式與實踐
第6章 開發方法學與哲學
索引

 
",20210522135623PXSEZ5
